datatype	polymer	mean	std
hballmcmc	polythreonine	3.86	1.59
hballmcmc	polyvaline	7.21	1.95
hballmcmc	polyisoleucine_turing	6.18	0.0
hballmcmc	polyisoleucine_78	6.16	0.0
hballmcmc	polyisoleucine_server191	7.26	0.0
hballmcsc	polyala-gly	0.02	0.02
hballmcsc	polyala_constrained	0.17	0.08
hballmcsc	polyalanine_default	0.04	0.01
hballmcsc	polyasparagine	2.71	0.86
hballmcsc	polygly_constrained	0.0	0.0
hballmcsc	polyglycine	0.0	0.0
hballmcsc	polyisoleucine	0.5	0.2
hballmcsc	polythreonine	3.52	0.68
hballmcsc	polyvaline	0.48	0.21
hballmcsc	polyisoleucine_turing	0.59	0.0
hballmcsc	polyisoleucine_78	0.64	0.0
hballmcsc	polyisoleucine_server191	0.3	0.0
hballscsc	polyala-gly	0.0	0.0
hballscsc	polyala_constrained	0.0	0.0
hballscsc	polyalanine_default	0.0	0.0
hballscsc	polyasparagine	4.29	0.72
hballscsc	polygly_constrained	0.0	0.0
hballscsc	polyglycine	0.0	0.0
hballscsc	polyisoleucine	0.0	0.0
hballscsc	polythreonine	3.0	0.33
hballscsc	polyvaline	0.0	0.0
hballscsc	polyisoleucine_turing	0.0	0.0
hballscsc	polyisoleucine_78	0.0	0.0
hballscsc	polyisoleucine_server191	0.0	0.0
hballp1mcmcstoch	polyala-gly	1.85	0.49
hballp1mcmcstoch	polyala_constrained	1.68	0.48
hballp1mcmcstoch	polyalanine_default	1.66	0.46
hballp1mcmcstoch	polyasparagine	2.73	0.97
hballp1mcmcstoch	polygly_constrained	2.46	0.55
hballp1mcmcstoch	polyglycine	1.53	0.34
hballp1mcmcstoch	polyisoleucine	1.99	0.45
hballp1mcmcstoch	polythreonine	1.66	0.46
hballp1mcmcstoch	polyvaline	2.21	0.77
hballp1mcmcstoch	polyisoleucine_turing	2.39	0.0
hballp1mcmcstoch	polyisoleucine_78	1.94	0.0
hballp1mcmcstoch	polyisoleucine_server191	0.85	0.0
hballp1mcscstoch	polyala-gly	0.02	0.02
hballp1mcscstoch	polyala_constrained	0.17	0.08
hballp1mcscstoch	polyalanine_default	0.04	0.01
hballp1mcscstoch	polyasparagine	1.72	0.61
hballp1mcscstoch	polygly_constrained	0.0	0.0
hballp1mcscstoch	polyglycine	0.0	0.0
hballp1mcscstoch	polyisoleucine	0.5	0.2
hballp1mcscstoch	polythreonine	0.69	0.46
hballp1mcscstoch	polyvaline	0.48	0.21
hballp1mcscstoch	polyisoleucine_turing	0.59	0.0
hballp1mcscstoch	polyisoleucine_78	0.64	0.0
hballp1mcscstoch	polyisoleucine_server191	0.3	0.0
hballp1scscstoch	polyala-gly	0.0	0.0
